"Plan";"Cod";"Nombre Corto";"Eje";"Área";"Medida";"Objetivo";"Descripción";"Tipo de Medida";"Area de aplicación";"Año inicio";"Plazo ejecución";"Responsable";"Colaboradores internos";"Colaboradores externos";"Vinculación normativa";"Adecuaciones Normativas";"Tecnología, infraestructura y recursos necesarios";"Potenciales barreras y obstáculos";"Potenciales fuentes de financiamiento";"Consideraciones de Genero";"Acciones";"Indicador";"Meta";"status";"Tipología Territorial";"Escala Jurisdiccional"
"Alhue";"M-11";;"MIT";"SUM";"Plan de Infraestructura Verde en edificaciones para eficiencia energética";"OE4. Incrementar los sumideros de carbono y reducir el consumo energético local implementando Soluciones Basadas en la Naturaleza (SbN) e infraestructura verde, promoviendo esquemas de compensación de emisiones.";"Implementación de techos, muros verdes y reforestación por núcleos (SbN) en el entorno de edificios públicos e industriales. Actúan como micro-sumideros de carbono y reducen la temperatura local (isla de calor), disminuyendo directamente la demanda de energía estacionaria para climatización.";"IO; SbN";"Urbano (Edificios públicos, educativos o de salud).";"2026";"2029";"SECPLA; DOM";"Oficina de Medio Ambiente";"Ministerio de Energía; Agencia de Sostenibilidad Energética; Seremi Minvu RM";"Estrategia Energética Local (EEL), Estrategia Climática de Largo Plazo (ECLP), Plan Sectorial de Mitigación de Edificación y Ciudades";"Modificación de las bases de licitación de infraestructura pública para exigir criterios de envolvente térmica verde y paisajismo sustentable";"Especies xerófitas de bajo requerimiento hídrico, sustratos de retención de humedad, sistemas de riego por goteo automatizado, sensores de TÂ° interior/exterior.";"ECO; TEC";"REG; NAC";"Priorizar la infraestructura verde en escuelas y el CESFAM comunal para reducir la exposición de niños, mujeres (principales cuidadoras) y adultos mayores al estrés térmico durante olas de calor.";"A1. Auditoría térmica y estructural a edificios críticos. A2. Diseño de ingeniería y postulación a PMU/FNDR. A3. Ejecución y recepción de obras verdes.";"Superficie de infraestructura verde instalada y ahorro energético.";"Implementar infraestructura verde funcional en al menos 3 edificios públicos estratégicos al año 2029, reduciendo su consumo en energía para climatización en un 15%.";"Revisado";"URB";"COM"
"Alhue";"M-12";;"MIT";"SUM";"Programa integral de restauración ecosistémica y reforestación melífera en corredores biológicos";"OE4. Incrementar los sumideros de carbono y reducir el consumo energético local implementando Soluciones Basadas en la Naturaleza (SbN) e infraestructura verde, promoviendo esquemas de compensación de emisiones.";"Programa de restauración activa y pasiva enfocado en recuperar la biomasa nativa en corredores biológicos mediante el uso de especies melíferas adaptadas a la sequía. Esta Solución Basada en la Naturaleza (SbN) maximiza la captura de CO2, reduce la fragmentación, protege fuentes hídricas y, simultáneamente, asegura el sustento floral para la resiliencia productiva de las cooperativas apícolas locales al 2030.";"PP; SbN";"Comunal / Rural (Áreas degradadas y Paisaje de Conservación)";"2026";"2030";"Oficina de Medio Ambiente";"SECPLA; DIDECO";"ONG Kintu; CONAF; MMA; Proyecto GEF Corredores Biológicos de Montaña";"Contribución Determinada a Nivel Nacional (NDC) en su meta de manejo y recuperación de bosques nativos, Plan Sectorial de Adaptación Silvoagropecuario y alineación directa con la Medida 6 del PARCC de la Región Metropolitana (""Restaurar ecológicamente la";"Inclusión de los corredores biológicos a restaurar como ""Áreas de Protección de Valor Natural"" en la futura actualización del Plan Regulador Comunal (PRC) y el PLADECO.";"Herramientas de Sistemas de Información Geográfica (SIG) para el diseño del corredor, habilitación de banco de semillas y vivero municipal con biotipos locales, sistemas de riego de emergencia y protectores forestales.";"AMB; SOC";"CON; NAC; CIU";"Focalizar geográficamente la restauración en las microcuencas que abastecen a los sistemas de Agua Potable Rural (APR) locales. Al proteger la fuente hídrica mediante SbN, se reduce directamente la vulnerabilidad sanitaria de la comunidad y se alivia la sobrecarga de labores de cuidado (históricamente feminizadas) exacerbadas por la escasez de agua. Vincular la reforestación melífera al rescate de herbolaria y plantas medicinales, saberes tradicionalmente custodiados por mujeres rurales (""huerteras"" y apicultoras), fortaleciendo su autonomía económica.";"A1. Diagnóstico espacial y priorización de áreas de conectividad junto a apicultores. A2. Recolección genética y propagación de especies melíferas en vivero. A3. Ejecución de la plantación mediante técnica de núcleos. A4. Monitoreo plurianual de biomasa, sobrevivencia vegetal y secuestro de carbono.";"Superficie de bosque esclerófilo bajo restauración efectiva y tasa de sobrevivencia vegetal.";"Consolidar la restauración ecosistémica de al menos 20 hectáreas estratégicas con flora melífera nativa, logrando una tasa de sobrevivencia superior al 75% al año 2030.";"Revisado";"MIX";"COM"
"Alhue";"M-13";;"MIT";"SUM";"Sistema de incentivos por servicios ecosistémicos para compensación industrial";"OE4. Incrementar los sumideros de carbono y reducir el consumo energético local implementando Soluciones Basadas en la Naturaleza (SbN) e infraestructura verde, promoviendo esquemas de compensación de emisiones.";"Mecanismo de gobernanza mediante el cual empresas locales de alta emisión o gran demanda energética (minería y agroindustria) financian la creación o mantención de corredores biológicos comunitarios o privados. Permite compensar sus emisiones localmente y asegurar el éxito financiero de los sumideros.";"F; PP";"Comunal / Rural (Interacción público- privada)";"2028";"2030";"Alcaldía; SECPLA";"ODEL; Oficina de Medio Ambiente";"Sector Privado; ASCC; ONG Kintu";"CLP (Sistemas de compensación de emisiones), Acuerdos de Producción Limpia (APL) territorial, Plan de Gestión ""Paisaje de Conservación""";"Elaboración de un reglamento o bases a nivel municipal para la valorización de servicios ecosistémicos y canalización de fondos de Responsabilidad Social Empresarial (RSE).";"Mesas de negociación intersectorial (abogados, técnicos ambientales), mecanismos contables MRV (Monitoreo, Reporte y Verificación) para asegurar que el carbono capturado es real y adicional.";"LEG; SOC";"PRI";"Orientar los corredores biológicos financiados por privados hacia la protección específica de las cabeceras de cuencas que proveen de agua a los Sistemas de Servicios Sanitarios Rurales (SSR/APR) de la comuna, asegurando el recurso vital para la comunidad y aliviando la carga de cuidados asociada a la escasez.";"A1. Levantamiento del portafolio municipal de ""sitios aptos"" para compensación. A2. Firma de Acuerdos de Producción Limpia (APL) territoriales con ASCC y privados. A3. Inyección de fondos privados, ejecución en terreno y reporte anual.";"Financiamiento industrial apalancado y hectáreas nativas bajo mecanismo de compensación.";"Conformar al menos 1 Mesa de Compensación Industrial activa y lograr que la minería/agroindustria financie la mantención efectiva de al menos 1 corredor biológico estratégico como sumidero corporativo al año 2030.";"Revisado";"MIX";"COM"
"Alhue";"A-01";;"ADA";"GSH";"Sistema de monitoreo, reporte y actualización de la Estrategia Hídrica Local (EHL)";"OE1. Garantizar la seguridad hídrica comunal, priorizando el abastecimiento para consumo humano y la mantención de los ecosistemas locales.";"Implementación de una plataforma oficial y revisiones semestrales de los indicadores de la EHL de Alhué. Garantiza la evaluación del cumplimiento de la cartera de proyectos hídricos comunales, transparentando los datos a la ciudadanía y facilitando su actualización obligatoria cada tres años.";"PP; SAM";"Comunal";"2026";"2030";"SECPLA; Oficina de Medio Ambiente";"DIDECO";"ASCC; GORE RM; DGA";"Estrategia Hídrica Local de Alhué (EHL 2024-2034), Plan de Acción Regional de Cambio Climático (PARCC RM)";"Decreto alcaldicio que formalice el funcionamiento y responsabilidades para el seguimiento de la EHL.";"Software de gestión y visualización de datos abiertos (plataforma web), horas hombre (profesionales municipales capacitados en gestión hídrica).";"ADM; TEC";"LOC; REG";"Garantizar que los reportes incluyan variables del acceso al agua en sistemas APR (Agua Potable Rural) liderados por mujeres, reduciendo su vulnerabilidad.";"A1. Designación de equipo responsable. A2. Habilitación de plataforma digital municipal. A3. Generación de informes semestrales de avance.";"Porcentaje de avance y cumplimiento de la EHL";"100% de las medidas de la EHL monitoreadas anualmente y 1 actualización completa del instrumento ejecutada al año 2029.";"Revisado";"";"COM"
"Alhue";"A-02";;"ADA";"GSH";"Programa de fiscalización de extracciones irregulares, venta y suministro de agua mediante camiones aljibe";"OE1. Garantizar la seguridad hídrica comunal, priorizando el abastecimiento para consumo humano y la mantención de los ecosistemas locales.";"Establecimiento de un sistema de monitoreo municipal en coordinación con la DGA y Carabineros, para identificar, denunciar y sancionar la extracción ilegal de agua desde cauces o pozos. Regula el mercado de venta y distribución de agua mediante un catastro de camiones aljibe.";"PP; SAM";"Comunal";"2026";"2030";"DOM; Oficina de Medio Ambiente";"Asesoría Jurídica Municipal; Oficina de Emergencias";"DGA; Carabineros, Seremi de Salud RM";"Código de Aguas (atribuciones DGA), EHL Alhué";"Creación de una Ordenanza Municipal que regule el tránsito y venta de agua de camiones aljibe en la comuna.";"Drones para monitoreo de cauces, vehículos 4x4 para inspectores, inspectores municipales capacitados en normativa hídrica.";"ADM; LEG";"LOC";"Proteger directamente las cuencas que alimentan a los sistemas APR de consumo humano, priorizando la subsistencia de familias rurales vulnerables.";"A1. Promulgación de ordenanza de camiones aljibe. A2. Establecer canal de denuncias seguro. A3. Realizar operativos conjuntos de fiscalización con la DGA.";"Operativos de fiscalización hídrica realizados";"Ejecutar al menos 12 fiscalizaciones integradas anuales y empadronar al 100% de los camiones aljibe que operan comercialmente en la comuna al 2028.";"Revisado";"";"COM"
"Alhue";"A-03";;"ADA";"GSH";"Mesa de Gobernanza para Acuerdos de Producción Limpia (APL) Hídrica territorial";"OE1. Garantizar la seguridad hídrica comunal, priorizando el abastecimiento para consumo humano y la mantención de los ecosistemas locales.";"Conformación de una mesa territorial que articule al sector público y privado (minería, viñas y agroindustria). El objetivo es adherir estratégicamente a las empresas locales a un APL Hídrico, fijando metas de eficiencia, recirculación y apoyo comunitario al año 2030.";"BP; PP";"Comunal / Industrial";"2027";"2030";"Alcaldía; SECPLA";"ODEL; Oficina de Medio Ambiente";"ASCC; Codelco; Minera Florida; Sector Privado";"Estrategia Hídrica Local (EHL), Certificado Azul (ASCC)";"Formalización de convenios o memorandos de entendimiento municipal-privado.";"Profesionales facilitadores para mesas de diálogo, estándares de ""Certificado Azul"", auditorías hídricas en las empresas.";"SOC";"NAC; PRI";"Establecer dentro del APL que las empresas cofinancien mejoras de eficiencia hídrica en escuelas o postas rurales (población vulnerable) como medida de compensación territorial.";"A1. Convocatoria a la gran industria de Alhué. A2. Firma del APL Territorial con la ASCC. A3. Implementación de medidas intraprediales por parte de los privados. A4. Auditoría y certificación.";"Empresas locales adheridas al APL y Certificado Azul.";"Lograr que al menos 3 de las grandes industrias de la comuna (ej. mineras, viñas) firmen el APL y certifiquen su reducción de huella hídrica al año 2030.";"Revisado";"";"COM"
"Alhue";"A-04";;"ADA";"GSH";"Piloto residencial de captación de aguas lluvias y grises con sistema de copago vecinal";"OE1. Garantizar la seguridad hídrica comunal, priorizando el abastecimiento para consumo humano y la mantención de los ecosistemas locales.";"Piloto municipal para implementar sistemas de reutilización hídrica (aguas grises y lluvia) en viviendas rurales vulnerables. Incorpora un esquema de copago vecinal para garantizar corresponsabilidad, mantenimiento a largo plazo y autonomía hídrica comunitaria frente a la sequía.";"IT; F";"Rural (Comunidades vulnerables/aisladas)";"2027";"2030";"SECPLA; DIDECO";"Oficina de Medio Ambiente; Organizaciones Comunitarias";"GORE RM; SEREMI Salud; Juntas de Vecinos";"EHL (iniciativas de reciclaje de aguas grises), Ley 21.075 (Aguas Grises)";"Aprobación de un reglamento municipal que regule el fondo, las bases de postulación y las cuotas de copago del beneficio.";"Canaletas, bajadas, estanques acumuladores, biofiltros para aguas grises, bombas de bajo consumo, asistencia técnica para la instalación.";"ECO; TEC; ADM";"REG; CIU";"Ponderar con mayor puntaje en las bases de postulación a hogares monoparentales liderados por mujeres (jefas de hogar) rurales, aliviando la carga de conseguir agua de forma manual.";"A1. Diseño técnico e ingeniería del kit domiciliario. A2. Aprobación del reglamento de copago en Concejo. A3. Postulación vecinal y ejecución de obras. A4. Capacitación a las familias en mantención.";"Sistemas hídricos domiciliarios operativos bajo esquema de copago.";"Implementar exitosamente el programa piloto dotando de autonomía parcial a 30 viviendas rurales bajo modalidad de corresponsabilidad al 2030.";"Revisado";"";"COM"
"Alhue";"A-05";;"ADA";"GSH";"Transición agroecológica y fomento de cultivos de bajo requerimiento hídrico";"OE1. Garantizar la seguridad hídrica comunal, priorizando el abastecimiento para consumo humano y la mantención de los ecosistemas locales.";"Programa de reconversión agrícola enfocado en la agricultura familiar. Subsidia y entrega asistencia técnica para reemplazar cultivos exóticos o de alta demanda hídrica por especies agroecológicas y de secano, adaptando estructuralmente la matriz productiva a la megasequía.";"FC; F";"Rural (Agricultura Familiar Campesina)";"2028";"2030";"DIDECO";"ODEL; Oficina de Medio Ambiente";"INDAP, Fundación para la Innovación Agraria; CNR";"Plan Sectorial de Adaptación Silvoagropecuario, Plan ""Paisaje de Conservación""";"Focalización de los lineamientos estratégicos de PRODESAL Alhué hacia la agroecología comunal.";"Profesionales agrónomos especializados en agroecología, entrega de semillas/plantines endémicos, sistemas de retención de humedad en suelo (mulch, polímeros).";"SOC; ECO";"NAC; REG";"Priorizar y bonificar a mujeres campesinas en la transición, resguardando saberes tradicionales y calendarios de siembra ancestrales, lo cual asegura su soberanía alimentaria y económica.";"A1. Levantamiento de agricultores interesados. A2. Plan de diseño intrapredial agroecológico. A3. Adquisición y siembra de nuevos cultivos. A4. Acompañamiento comercial desde la ODEL para los nuevos productos.";"Superficie agrícola en transición hacia bajo requerimiento hídrico.";"Reconvertir al menos 15 hectáreas de la pequeña agricultura familiar hacia cultivos de bajo requerimiento hídrico o manejo agroecológico al año 2030, asegurando su resiliencia productiva.";"Revisado";"";"COM"
"Alhue";"A-06";;"ADA";"CUL";"Recuperación del museo y espacios de encuentro socioambiental";"OE2. Fortalecer la resiliencia comunitaria mediante la educación socioambiental continua, el rescate intergeneracional del patrimonio biocultural campesino y el codiseño ciudadano de normativas locales.";"Rehabilitación estructural y funcional del museo local y espacios recreativos en localidades rurales. Estas zonas actuarán como refugios climáticos, centros de educación no formal y polos de resguardo de la identidad territorial, facilitando la cohesión comunitaria en torno a la conservación.";"IO; FC";"Comunal";"2026";"2028";"SECPLA; Oficina de Cultura";"DOM; Oficina de Medio Ambiente";"Ministerio de las Culturas, las Artes y el Patrimonio; GORE RM; ONG Kintu";"Plan Municipal de Cultura de Alhué, Plan de Gestión ""Paisaje de Conservación""";"Actualización del PLADECO para priorizar la inversión en infraestructura cultural resiliente.";"Materiales de construcción sustentable, aislación térmica, mobiliario museográfico, profesionales en arquitectura y patrimonio.";"ECO; ADM";"REG; PRI";"Garantizar que los espacios recuperados cuenten con accesibilidad universal y sean seguros para mujeres, niños y adultos mayores, sirviendo como refugios durante eventos de calor extremo.";"A1. Diseño de arquitectura y especialidades. A2. Postulación a fondos públicos (FNDR/PMU). A3. Ejecución de obras y habilitación museográfica. A4. Apertura a la comunidad con programa de actividades.";"Espacios socioambientales y patrimoniales recuperados y operativos.";"Recuperar y poner en valor operativo el Museo Local y al menos 2 espacios de encuentro socioambiental en sectores rurales al año 2028.";"Con Observaciones";"";"COM"
"Alhue";"A-07";;"ADA";"CUL";"Programa escolar transversal de líderes climáticos y cultura responsable";"OE2. Fortalecer la resiliencia comunitaria mediante la educación socioambiental continua, el rescate intergeneracional del patrimonio biocultural campesino y el codiseño ciudadano de normativas locales.";"Intervención curricular integrada de manera transversal en los establecimientos educacionales de la comuna. Empodera a niños y jóvenes como agentes de cambio, insertando contenidos de adaptación, eficiencia hídrica y sustentabilidad en diversas asignaturas, fomentando una identidad de protección ambiental desde la educación formal.";"FC; PP";"Comunal (Establecimientos educacionales)";"2026";"2030";"DAEM";"Oficina de Medio Ambiente";"MINEDUC; MMA";"Estrategia de Desarrollo de Capacidades y Empoderamiento Climático (ACE), Plan Anual de Desarrollo Educativo Municipal (PADEM)";"Incorporación obligatoria de la variable de ""Sustentabilidad y Cambio Climático"" en el PADEM de Alhué.";"Profesionales en pedagogía ambiental, material didáctico contextualizado a la ruralidad de Alhué, horas de planificación docente.";"OTR";"OTR; CON";"Fomentar liderazgos equitativos entre niños y niñas, asegurando que las vocerías de los comités ambientales escolares sean paritarias.";"A1. Capacitación docente en cambio climático. A2. Modificación de los Proyectos Educativos Institucionales (PEI). A3. Inserción de contenidos en asignaturas. A4. Obtención o mejora de certificación SNCAE.";"Establecimientos con currículum ambiental integrado y certificación SNCAE.";"Lograr que el 100% de los establecimientos públicos de Alhué integren el currículum climático de forma transversal y alcancen el Nivel de Excelencia en el SNCAE al 2030.";"Revisado";"";"COM"
"Alhue";"A-08";;"ADA";"CUL";"Rescate intergeneracional de saberes campesinos para la resiliencia";"OE2. Fortalecer la resiliencia comunitaria mediante la educación socioambiental continua, el rescate intergeneracional del patrimonio biocultural campesino y el codiseño ciudadano de normativas locales.";"Creación de espacios de diálogo y transferencia práctica de conocimientos entre adultos mayores y juventudes locales. Su objetivo es documentar y aplicar prácticas ancestrales de uso sustentable de tierra y agua, mitigando la pérdida de patrimonio inmaterial y fortaleciendo la resiliencia rural.";"FC; BP";"Comunal";"2027";"2030";"DIDECO";"Oficina de Cultura; Oficina de Medio Ambiente";"Clubes de Adulto Mayor; Unión Comunal; ONG Kintu; INDAP";"Política Nacional de Desarrollo Rural, Plan Municipal de Cultura (Línea de Patrimonio e Identidad)";"Directrices anuales de la DIDECO para asignación de subvenciones a organizaciones sociales.";"Facilitadores comunitarios (sociólogos/antropólogos), equipos de grabación audiovisual (para documentar la memoria oral), transporte para adultos mayores.";"Dificultad de movilidad de los adultos mayores en sectores rurales aislados; desinterés inicial de los jóvenes.";"REG; LOC; NAC";"Visibilizar específicamente el rol histórico de las mujeres campesinas (""huerteras"", ""recolectoras"", ""cantoras""), rescatando sus saberes en soberanía alimentaria y herbolaria medicinal.";"A1. Identificación y contacto con adultos mayores cultores. A2. Realización de jornadas de ""encuentro intergeneracional"" (mateadas/talleres). A3. Edición de material documental (libro o video) de saberes locales.";"Participantes en espacios de transferencia intergeneracional y documentos generados.";"Realizar al menos 4 encuentros intergeneracionales masivos al año y generar 1 archivo documental histórico de resiliencia campesina al 2030.";"Revisado";"";"COM"
"Alhue";"A-09";;"ADA";"CUL";"Ruta de la memoria patrimonial y educación sustentable";"OE2. Fortalecer la resiliencia comunitaria mediante la educación socioambiental continua, el rescate intergeneracional del patrimonio biocultural campesino y el codiseño ciudadano de normativas locales.";"Diseño e implementación de circuitos interpretativos sustentables (turismo de bajo impacto) que conecten hitos construidos y naturales de Alhué. Incorpora señalética ecológica basada en los saberes rescatados (A- 08), fomentando el arraigo territorial, la conservación del paisaje y la identidad climática.";"IO; FC";"Comunal";"2028";"2030";"Oficina de Turismo; SECPLA";"Oficina de Cultura, Medio Ambiente";"SERNATUR, Consejo de Monumentos Nacionales, ONG Kintu, Cámara de Turismo Local";"Plan de Gestión ""Paisaje de Conservación"", Estrategia Nacional de Turismo Sostenible";"Actualización del Plan de Desarrollo Turístico (PLADETUR) incorporando circuitos resilientes al clima.";"Señalética construida con maderas certificadas o materiales reciclados locales, códigos QR con audios de relatos campesinos, senderos de bajo impacto.";"SOC; OTR";"REG; NAC";"Fomentar que el desarrollo económico derivado de la ruta (guías turísticos, artesanía, gastronomía en los paraderos) beneficie directamente a agrupaciones de mujeres emprendedoras de la comuna.";"A1. Trazado participativo de la ruta con la comunidad. A2. Diseño y fabricación de señalética ecológica. A3. Instalación e inauguración. A4. Capacitación a guías locales sobre la narrativa de la ruta.";"Kilómetros de circuitos interpretativos habilitados y guías capacitados.";"Habilitar 1 Ruta de la Memoria Patrimonial intercomunicando al menos 10 hitos socioambientales críticos y capacitar al menos 10 guías locales al año 2030.";"Revisado";"";"COM"
"Alhue";"A-10";;"ADA";"CUL";"Actualización de ordenanzas para el desarrollo sustentable y el buen vivir";"OE2. Fortalecer la resiliencia comunitaria mediante la educación socioambiental continua, el rescate intergeneracional del patrimonio biocultural campesino y el codiseño ciudadano de normativas locales.";"Proceso de co-diseño ciudadano (junto a familias, educadores y jóvenes) para revisar, redactar y actualizar normativas municipales que regulen prácticas sustentables locales. Esta medida consolida institucionalmente la conciencia ambiental generada, reduciendo la vulnerabilidad estructural comunal mediante el cumplimiento de acuerdos sociales obligatorios.";"PP";"Comunal";"2029 (Una vez madurada la educación y valorización previa)";"2030";"Asesoría Jurídica; Oficina de Medio Ambiente";"DIDECO; DOM";"Comité Ambiental Comunal; Unión Comunal de Juntas de Vecinos";"SCAM Nivel Intermedio/Excelencia, Ordenanza de Participación Ciudadana de Alhué";"Modificación o creación de ordenanzas ambientales (ej. protección de flora melífera, gestión de residuos, ruidos, protección de quebradas).";"Asesores jurídicos ambientales, espacios para cabildos o asambleas resolutivas, difusión masiva (radios, RRSS).";"LEG; ADM";"LOC";"Asegurar paridad de género y representación de todas las localidades rurales aisladas en las mesas ciudadanas de redacción de las ordenanzas.";"A1. Convocatoria a asambleas de co-diseño normativo. A2. Redacción técnica y jurídica de los borradores. A3. Aprobación en el Concejo Municipal. A4. Marcha blanca y educación ciudadana sobre las nuevas reglas.";"Ordenanzas sustentables co-diseñadas y promulgadas.";"Promulgar al menos 2 nuevas ordenanzas participativas enfocadas en sustentabilidad y buen vivir (ej. protección del paisaje o recurso hídrico) operativas al año 2030.";"Revisado";"";"COM"
"Alhue";"A-11";;"ADA";"BIO";"Actualización normativa territorial para la protección de servicios ecosistémicos";"OE3. Proteger, restaurar y revertir la degradación de los ecosistemas terrestres del Paisaje de Conservación de Alhué, implementando Soluciones Basadas en la Naturaleza (SbN).";"Integración de criterios de conservación climática en los Instrumentos de Planificación Territorial (IPT) y ordenanzas locales. Su objetivo es dotar al municipio de herramientas para fiscalizar parcelaciones irregulares y restringir obras en zonas de recarga de acuíferos y alto valor ecosistémico.";"PP";"Comunal (énfasis en áreas de recarga y valor ecológico)";"2026";"2028";"SECPLA; Asesoría Jurídica";"DOM";"SEREMI de Vivienda y Urbanismo; MMA; SAG; GORE RM";"Ley Marco de Cambio Climático (integración en IPTs), Plan Regulador Metropolitano de Santiago (PRMS), Plan ""Paisaje de Conservación""";"Incorporación de áreas de restricción en la elaboración del Plan Regulador Comunal (PRC) y creación de Ordenanza de Protección de Quebradas.";"Sistemas de Información Geográfica (SIG), asesoría jurídica experta en derecho urbanístico y ambiental.";"ADM; POL";"LOC; REG";"Proteger las zonas de recarga de acuíferos asegura indirectamente la continuidad del agua en los sistemas APR, aliviando la carga de conseguir agua manual que recae desproporcionadamente sobre mujeres rurales.";"A1. Levantamiento técnico de zonas de alto valor ecosistémico y recarga. A2. Redacción de ordenanzas y propuestas de modificación de IPT. A3. Aprobación en Concejo Municipal y tramitación sectorial.";"Instrumentos normativos y de planificación actualizados con criterios climáticos.";"Contar con al menos 1 ordenanza operativa de protección de servicios ecosistémicos y/o propuesta de elaboración PRC al 2028.";"Revisado";"";"COM"
"Alhue";"A-12";;"ADA";"BIO";"Programa de tenencia responsable de mascotas para resguardo de la fauna silvestre";"OE3. Proteger, restaurar y revertir la degradación de los ecosistemas terrestres del Paisaje de Conservación de Alhué, implementando Soluciones Basadas en la Naturaleza (SbN).";"Programa integral de educación, esterilización masiva y fiscalización de mascotas (perros/gatos). Busca reducir los ataques, el impacto depredador y la transmisión de enfermedades zoonóticas a la fauna silvestre vulnerable, manteniendo el equilibrio ecológico.";"FC; BP";"Periurbano / Rural (Zonas de interfaz con el bosque nativo)";"2026";"2030";"Administración Municipal;Oficina de Medio Ambiente";"DIDECO";"SUBDERE; SAG; ONG Kintu; Agrupaciones animalistas locales";"Ley NÂ° 21.020 de Tenencia Responsable (Ley Cholito), Plan de Gestión Paisaje de Conservación de Alhué";"Modificación de la Ordenanza Municipal de Tenencia de Mascotas endureciendo multas por animales de libre deambular en zonas de amortiguación ecológica.";"Clínicas veterinarias móviles, microchips, lectores de chip para inspectores municipales, jaulas trampas éticas (para captura de asilvestrados coordinado con SAG).";"SOC";"REG";"La reducción de zoonosis y mordeduras de perros asilvestrados mejora la seguridad en el desplazamiento peatonal de niños/as y mujeres que transitan por senderos rurales.";"A1. Endurecer ordenanza municipal de inspección. A2. Campañas de esterilización y chipeo gratuitas en zonas críticas. A3. Fiscalización y multas por parte de Inspección Municipal. A4. Educación en escuelas.";"Mascotas esterilizadas y fiscalizaciones en zonas rurales.";"Esterilizar al menos al 60% de la población canina/felina de los sectores rurales críticos colindantes a áreas protegidas y realizar 10 operativos de fiscalización anuales al 2030.";"Revisado";"";"COM"
"Alhue";"A-13";;"ADA";"BIO";"Banco comunitario de semillas nativas y red de guardianes del patrimonio";"OE3. Proteger, restaurar y revertir la degradación de los ecosistemas terrestres del Paisaje de Conservación de Alhué, implementando Soluciones Basadas en la Naturaleza (SbN).";"Habilitación de un banco de semillas y vivero municipal administrado por ""guardianes"" comunitarios. Su objetivo es salvaguardar genotipos locales (forestales, hortícolas y frutales) adaptados a la escasez hídrica, asegurando el material vegetal para la restauración comunal y la soberanía alimentaria comunitaria.";"SbN; FC";"Comunal";"2027";"2030";"DIDECO";"Oficina de Medio Ambiente";"INIA; INDAP; ONG Kintu; Unión Comunal de Adultos Mayores";"Plan Sectorial de Adaptación Silvoagropecuario, Estrategia Nacional de Biodiversidad";"Incorporación de la Red de Guardianes de Semillas en los programas de subsidio local apoyados por DIDECO.";"Vivero municipal aclimatado (sombreadero), equipos de refrigeración/desecación para el banco de semillas, sustratos, herramientas agrícolas.";"TEC";"CON; LOC; OTR";"Tradicionalmente, la custodia y selección de semillas ha sido un rol femenino campesino (huerteras, curadoras). La medida visibiliza, capacita y entrega recursos directamente a estas mujeres, fortaleciendo su autonomía económica y soberanía alimentaria.";"A1. Identificación y capacitación de cuidadores/guardianes locales. A2. Construcción física del banco de semillas y vivero conjunto. A3. Campañas de recolección en terreno. A4. Intercambio de semillas (trafkintu) y propagación.";"Variedades genéticas conservadas y plantas propagadas";"Resguardar al menos 30 genotipos adaptados al clima local (nativos y alimentarios) y producir 2.000 plantas de bajo requerimiento hídrico anualmente al 2030.";"Revisado";"";"COM"
"Alhue";"A-14";;"ADA";"BIO";"Plan de control de especies exóticas y recambio vegetal adaptativo";"OE3. Proteger, restaurar y revertir la degradación de los ecosistemas terrestres del Paisaje de Conservación de Alhué, implementando Soluciones Basadas en la Naturaleza (SbN).";"Ejecución de planes para identificar, controlar y reemplazar progresivamente flora exótica invasora o de alto requerimiento hídrico en áreas verdes municipales, sustituyéndolas por especies del Banco de Semillas local (A-13) de baja demanda hídrica, adaptando el paisaje a la megasequía. Este instrumento podrá servir como iniciativa y modelo de adopción voluntaria en otros entornos más allá del ámbito municipal.";"SbN; IO";"Urbano / Periurbano (Áreas públicas y cursos de agua)";"2028";"2030";"Oficina de Medio Ambiente; Oficina de Aseo y Ornato";"SECPLA";"CONAF; SAG; ONG Kintu";"Estrategia Hídrica Local (EHL) de Alhué, Plan de Acción Regional de Cambio Climático (PARCC RM - Línea de Arborización Eficiente)";"Modificación del Anexo de Áreas Verdes en licitaciones municipales para exigir exclusividad de flora xerófita o nativa local.";"Maquinaria de tala y destronque, plantas cultivadas localmente (A-13), sistemas de riego tecnificado por goteo transitorio, chipeadoras para hacer mulch con las especies extraídas.";"SOC";"REG; NAC; LOC";"Garantizar que el nuevo diseño de áreas verdes xerófitas no genere puntos ciegos (arbustos muy altos) para mantener la visibilidad y seguridad del desplazamiento de mujeres y disidencias en espacios públicos.";"A1. Catastro botánico y cálculo de requerimientos hídricos. A2. Educación y sensibilización vecinal sobre el cambio de estética de la plaza. A3. Extracción de exóticas y preparación de suelo. A4. Plantación de especies de reemplazo y monitoreo de prendimiento.";"Superficie de áreas verdes reconvertidas y ahorro hídrico estimado";"Reemplazar y adaptar al 100% las especies de alto consumo de agua en al menos 3 grandes plazas públicas o bienes nacionales de uso público de la comuna al año 2030, mejorando la seguridad hídrica local.";"Revisado";"";"COM"
